Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
TOI-1333 b,9.4,05/12/2024 19:23,05/12/2024 21:35,05/12/2024 23:48,04:25,10650.307,10650.399,10650.492,64,43,22,325,311,315,1.5,3.7,5.9,21:40:03.49 +48:24:24.36,6.7,1,4.7201912,2.30E-06,2459847.968,0.000389,,80,11,19:09,22:56,21,72
TOI-2768 b,12.7,06/12/2024 04:47,06/12/2024 05:18,06/12/2024 05:48,01:02,10650.699,10650.721,10650.742,37,33,28,217,224,231,2,2.5,3,06:37:27.39 -15:28:52.33,1.8,1,1.5080197,4.90E-06,2459225.647,0.001749,,80,50,03:40,05:36,24,128
HD 80653 b,9.5,06/12/2024 05:32,06/12/2024 06:26,06/12/2024 07:20,01:48,10650.73,10650.768,10650.805,76,71,61,179,223,246,0,0.9,1.8,09:21:21.38 +14:22:04.33,0.16,1,0.719573,2.10E-05,2458134.424,0.0007,,78,50,02:46,06:56,25,174
Kepler-763 b,16,05/12/2024 19:49,05/12/2024 20:25,05/12/2024 21:01,01:11,10650.326,10650.351,10650.376,39,33,27,309,310,311,4.1,4.7,5.3,19:28:34.69 +47:09:26.50,0.22,1,1.19655253,2.86E-06,2454965.529,0.001989,,75,25,19:09,20:43,21,72
TOI-1860 b,8.4,06/12/2024 05:38,06/12/2024 06:12,06/12/2024 06:46,01:08,10650.735,10650.758,10650.782,28,32,35,30,30,30,-5.6,-5.1,-4.5,15:05:49.62 +64:02:51.66,0.15,1,1.0662082,1.80E-06,2460367.148,0.001745,,73,8,05:56,06:56,25,109
EPIC 206042996 c,16.6,05/12/2024 18:51,05/12/2024 19:23,05/12/2024 19:55,01:04,10650.285,10650.308,10650.33,48,47,44,183,194,205,0.1,0.7,1.2,22:30:03.27 -13:36:36.53,0.55,1,0.354884,6.30E-05,2457007.068,0.002,,71,16,19:09,21:39,20,27
K2-229 b,11,06/12/2024 04:49,06/12/2024 05:34,06/12/2024 06:19,01:30,10650.701,10650.732,10650.763,24,33,41,113,121,131,-3.8,-3.1,-2.3,12:27:29.50 -06:43:18.65,0.16,1,0.58424,1.40E-05,2457582.886,0.001057,,68,11,05:18,06:56,25,124
KELT-4 A b,10,06/12/2024 04:35,06/12/2024 06:19,06/12/2024 08:03,03:28,10650.691,10650.763,10650.835,62,84,71,89,126,265,-2.1,-0.3,1.4,10:28:15.03 +25:34:23.29,11.9,1,2.98958682,9.90E-07,2456617.813,0.00031,,68,50,03:34,06:56,25,162
EPIC 206042996 b,16.6,05/12/2024 19:32,05/12/2024 21:06,05/12/2024 22:40,03:08,10650.314,10650.379,10650.444,46,35,19,197,224,242,0.8,2.4,4,22:30:03.27 -13:36:36.53,2,1,5.2986,0.0006,2456989.046,0.0053,,67,2,19:09,21:39,21,26
TOI-1444 b,10.9,05/12/2024 18:43,05/12/2024 19:22,05/12/2024 20:00,01:17,10650.28,10650.307,10650.333,44,42,39,346,343,341,2.2,2.8,3.5,20:21:53.98 +70:56:37.34,0.21,1,0.4702743,1.10E-06,2458711.368,0.0011,,66,50,19:09,21:07,20,94
K2-64 b,14.1,05/12/2024 18:00,05/12/2024 19:38,05/12/2024 21:16,03:16,10650.25,10650.318,10650.386,50,46,32,171,207,233,-0.4,1.3,2.9,22:09:39.32 -11:25:43.21,0.95,1,6.53142,0.00034,2456979.659,0.002,,65,2,19:09,21:27,20,23
XO-2 N b,11.2,06/12/2024 05:12,06/12/2024 06:32,06/12/2024 07:53,02:41,10650.717,10650.772,10650.828,65,54,42,332,317,313,1.2,2.5,3.9,07:48:06.42 +50:13:30.53,13.4,1,2.61585946,5.00E-08,2458843.218,6.90E-05,,65,50,04:12,06:56,25,146
TOI-1685 b,13.4,05/12/2024 19:29,05/12/2024 19:57,05/12/2024 20:24,00:55,10650.312,10650.331,10650.35,26,31,36,53,55,56,-5.3,-4.8,-4.4,04:34:22.55 +43:02:13.34,1.3,1,0.66913924,4.20E-07,2459910.938,0.00041,,63,50,19:49,21:25,21,125
Kepler-198 d,13.7,05/12/2024 19:20,05/12/2024 20:13,05/12/2024 21:06,01:46,10650.305,10650.342,10650.379,43,33,23,298,300,303,3.7,4.6,5.5,19:22:41.55 +38:41:27.62,0.26,1,1.31184609,1.26E-06,2454966.112,0.000789,,63,8,19:09,20:27,21,64
HATS-6 b,15,06/12/2024 03:18,06/12/2024 04:19,06/12/2024 05:20,02:02,10650.637,10650.68,10650.722,39,32,23,203,218,231,1.2,2.3,3.3,05:52:35.23 -19:01:53.86,32.3,1,3.32526424,3.70E-07,2457112.604,0.00011,,62,50,02:17,04:34,24,118
Kepler-1167 b,16,05/12/2024 20:15,05/12/2024 20:59,05/12/2024 21:43,01:28,10650.344,10650.374,10650.405,39,32,24,310,311,313,4.2,4.9,5.6,19:53:12.64 +47:41:38.28,0.55,1,1.00393374,2.68E-06,2454965.097,0.00249,,61,40,19:09,21:08,21,71
Kepler-10 b,11,05/12/2024 18:24,05/12/2024 19:18,05/12/2024 20:13,01:49,10650.267,10650.304,10650.342,49,40,31,315,313,314,3.2,4.1,5,19:02:43.03 +50:14:29.34,0.19,1,0.83749149,1.80E-07,2454964.574,0.000168,,58,7,19:09,20:21,20,77
Kepler-851 b,15.2,05/12/2024 17:54,05/12/2024 19:23,05/12/2024 20:51,02:56,10650.246,10650.307,10650.369,59,45,31,320,312,313,2.1,3.5,5,19:38:43.25 +49:08:24.40,0.3,1,8.50698069,3.61E-05,2454967.644,0.00354,,58,2,19:09,20:55,20,74
HATS-4 b,13.5,05/12/2024 23:11,06/12/2024 00:27,06/12/2024 01:43,02:32,10650.466,10650.519,10650.571,20,31,38,132,147,167,-3.3,-2,-0.8,06:16:26.90 -22:32:48.78,16.4,1,2.51672626,3.70E-07,2458468.521,0.00025,,55,50,00:19,02:43,22,121
HD 63433 b,6.9,06/12/2024 05:22,06/12/2024 06:49,06/12/2024 08:17,02:56,10650.723,10650.784,10650.845,72,53,34,270,278,285,1.3,2.8,4.3,07:49:55.05 +27:21:47.28,0.5,1,7.1079379,5.40E-06,2458916.453,0.00065,,54,50,04:19,06:56,25,160
TOI-1798.01,11.4,06/12/2024 03:44,06/12/2024 05:18,06/12/2024 06:52,03:08,10650.656,10650.721,10650.786,15,31,47,45,51,51,-6.5,-4.9,-3.4,14:04:22.54 +46:31:09.42,0.87,1,8.02154,2.80E-05,2458741.594,0.0022,,53,3,05:13,06:56,25,116
EPIC 220492298 b,14,06/12/2024 00:20,06/12/2024 01:14,06/12/2024 02:09,01:49,10650.514,10650.552,10650.589,42,30,18,252,260,268,3,3.9,4.8,01:07:02.76 +06:35:19.67,0.1,1,0.762406,0.00015,2457431.677,0.0037,Duration estimated. ,52,25,19:09,01:16,22,67
